polygon_number,point_order,longitude,latitude,tractce10,aland10,geom
46,541,-122.40877,37.81083,010100,776482,POINT (-122.408765000304 37.8108290003581)
47,17,-122.44896,37.77167,980300,4345271,POINT (-122.448958000311 37.7716690003242)
42,156,-122.39349,37.79723,010500,683666,POINT (-122.39349100011 37.7972330002028)
46,1109,-122.40972,37.80958,010100,776482,POINT (-122.409719000232 37.8095830004552)
190,5,-122.37433,37.73779,017902,2720913,POINT (-122.374328000437 37.7377900001085)
50,43,-122.38903,37.73953,061200,433004,POINT (-122.38903100038 37.7395330004476)
49,25,-122.38735,37.78931,061500,1669699,POINT (-122.38734800011 37.7893110000027)
42,93,-122.39446,37.80011,010500,683666,POINT (-122.394462999967 37.8001100006761)
46,990,-122.40842,37.80968,010100,776482,POINT (-122.408420000583 37.8096770002934)
46,18,-122.41372,37.8037,010100,776482,POINT (-122.413718000285 37.8036950005239)
49,0,-122.39198,37.79387,061500,1669699,POINT (-122.391981999769 37.7938720007922)
46,795,-122.4093,37.81023,010100,776482,POINT (-122.40930399998 37.810229000568)
46,858,-122.41003,37.81003,010100,776482,POINT (-122.410033000323 37.8100270002459)
46,1616,-122.40907,37.80862,010100,776482,POINT (-122.409073000119 37.8086190000669)
46,1388,-122.40908,37.80902,010100,776482,POINT (-122.409083999727 37.809023000711)
53,15,-122.49746,37.77758,047801,475941,POINT (-122.497455000148 37.7775790003706)
46,726,-122.40849,37.81014,010100,776482,POINT (-122.408487000075 37.8101360007759)
46,282,-122.41144,37.80999,010100,776482,POINT (-122.411435000225 37.8099870002)
46,1484,-122.40797,37.80884,010100,776482,POINT (-122.407971000561 37.8088410004119)
46,594,-122.40941,37.81076,010100,776482,POINT (-122.409405000141 37.8107570006351)
46,309,-122.41165,37.80993,010100,776482,POINT (-122.411650000247 37.8099310003155)
46,1086,-122.40974,37.80985,010100,776482,POINT (-122.40973500007 37.8098500001774)
46,1599,-122.40924,37.80876,010100,776482,POINT (-122.409243999911 37.8087620003661)
190,42,-122.37095,37.73339,017902,2720913,POINT (-122.370946000058 37.7333850002177)
45,87,-122.42594,37.80745,010200,515572,POINT (-122.425942000123 37.8074530002558)
48,34,-122.40331,37.75089,061400,797778,POINT (-122.40330900051 37.7508850005424)
46,230,-122.41119,37.80968,010100,776482,POINT (-122.411194999949 37.8096750002011)
46,1601,-122.40925,37.80868,010100,776482,POINT (-122.409251000233 37.8086759999974)
44,37,-122.41682,37.80489,010300,268266,POINT (-122.41681800025 37.8048870006346)
46,1296,-122.4089,37.80935,010100,776482,POINT (-122.408903000373 37.8093530006405)
46,890,-122.40954,37.80996,010100,776482,POINT (-122.409541000117 37.8099629999925)
45,104,-122.4234,37.8068,010200,515572,POINT (-122.42339999981 37.8067990006734)
46,1444,-122.40832,37.80892,010100,776482,POINT (-122.408319000422 37.8089190004116)
48,22,-122.4028,37.7502,061400,797778,POINT (-122.402801000466 37.7502010004758)
46,499,-122.40965,37.81081,010100,776482,POINT (-122.409646000463 37.8108130005196)
47,271,-122.47777,37.77286,980300,4345271,POINT (-122.477767000547 37.7728640005732)
46,50,-122.41836,37.80907,010100,776482,POINT (-122.418359000268 37.8090690001343)
47,84,-122.47193,37.76937,980300,4345271,POINT (-122.471934000454 37.7693650001947)
46,177,-122.41271,37.81058,010100,776482,POINT (-122.412705000335 37.8105840007511)
46,758,-122.40874,37.81015,010100,776482,POINT (-122.408736999913 37.810149000476)
47,244,-122.50669,37.77154,980300,4345271,POINT (-122.506685000412 37.7715420007628)
47,249,-122.50133,37.77179,980300,4345271,POINT (-122.501327999787 37.7717870003698)
50,4,-122.38753,37.73773,061200,433004,POINT (-122.387528000317 37.7377310000857)
43,45,-122.40316,37.8031,010400,335738,POINT (-122.403159999934 37.8030979999727)
52,15,-122.49839,37.77567,047802,339465,POINT (-122.498385999914 37.7756670003319)
46,277,-122.4113,37.80989,010100,776482,POINT (-122.411295000064 37.8098900002234)
44,17,-122.41735,37.79913,010300,268266,POINT (-122.417349000456 37.7991270003109)
50,32,-122.39512,37.73731,061200,433004,POINT (-122.395119000541 37.7373140006407)
46,976,-122.40825,37.80956,010100,776482,POINT (-122.408248999891 37.8095620003861)
45,28,-122.42575,37.81039,010200,515572,POINT (-122.425753000401 37.8103880007057)
47,12,-122.47689,37.76835,980300,4345271,POINT (-122.476890000573 37.7683480000602)
46,1548,-122.40885,37.80896,010100,776482,POINT (-122.408845000396 37.8089590004575)
45,11,-122.42443,37.8104,010200,515572,POINT (-122.424431999737 37.8104010004059)
47,41,-122.47398,37.76922,980300,4345271,POINT (-122.473982000469 37.7692190006564)
